measured_at,date,time,measurement_duration_sec,measurement_interval_sec,distance_cm_avg,ldr_avg,temperature,road_surface_temp,humidity,location,black_ice_status,photo_filename,photo_saved,photo_error,samples_taken,samples_total
2026-02-10T08:39:33+09:00,2026-02-10,08:39:33,30.0,5.0,204.33653157552084,225.0,0.1,-0.2,43.2,1,not_occurred,2026-02-10T08:39:33+09:00.jpg,True,,3,6
2026-02-10T08:53:55+09:00,2026-02-10,08:53:55,30.0,5.0,98.98408406575521,325.6666666666667,-0.2,1.5,47.5,2,occurred,2026-02-10T08:53:55+09:00.jpg,True,,3,6
2026-02-10T09:03:36+09:00,2026-02-10,09:03:36,30.0,5.0,74.2166249593099,362.1666666666667,-0.1,-0.4,47.8,3,not_occurred,2026-02-10T09:03:36+09:00.jpg,True,,6,6
2026-02-10T09:12:06+09:00,2026-02-10,09:12:06,30.0,5.0,79.59657958984374,442.2,-0.1,1.0,48.5,4,occurred,2026-02-10T09:12:06+09:00.jpg,True,,5,6
2026-02-10T09:33:47+09:00,2026-02-10,09:33:47,30.0,5.0,153.60397338867188,524.5,0.2,3.8,43.1,5,occurred,2026-02-10T09:33:47+09:00.jpg,True,,2,6
2026-02-11T08:49:53+09:00,2026-02-11,08:49:53,30.0,5.0,-1.0,-1.0,5.0,-0.4,61.1,1,not_occurred,2026-02-11T08:49:53+09:00.jpg,True,,0,6
2026-02-11T08:56:23+09:00,2026-02-11,08:56:23,30.0,5.0,82.01558685302734,490.25,3.7,2.1,68.3,2,unknown,2026-02-11T08:56:23+09:00.jpg,True,,4,6
2026-02-11T09:06:19+09:00,2026-02-11,09:06:19,30.0,5.0,67.37091674804688,555.1666666666666,3.2,3.2,71.6,3,unknown,2026-02-11T09:06:19+09:00.jpg,True,,6,6
2026-02-11T09:15:52+09:00,2026-02-11,09:15:52,30.0,5.0,70.5951161702474,596.1666666666666,3.2,2.2,71.6,4,not_occurred,2026-02-11T09:15:52+09:00.jpg,True,,6,6
2026-02-11T09:44:59+09:00,2026-02-11,09:44:59,30.0,5.0,-1.0,-1.0,3.8,8.6,67.6,5,not_occurred,2026-02-11T09:44:59+09:00.jpg,True,,0,6
2026-02-12T08:55:09+09:00,2026-02-12,08:55:09,30.0,5.0,296.5149200439453,582.75,0.4,-2.8,64.5,1,not_occurred,2026-02-12T08:55:09+09:00.jpg,True,,4,6
2026-02-12T08:59:48+09:00,2026-02-12,08:59:48,30.0,5.0,113.93602294921875,624.0,0.3,-0.9,65.9,2,not_occurred,2026-02-12T08:59:48+09:00.jpg,True,,4,6
2026-02-12T09:06:51+09:00,2026-02-12,09:06:51,30.0,5.0,67.03649088541667,606.6666666666666,0.3,1.4,68.4,3,not_occurred,2026-02-12T09:06:51+09:00.jpg,True,,6,6
2026-02-12T09:18:00+09:00,2026-02-12,09:18:00,30.0,5.0,68.73719991048178,740.5,0.3,1.8,67.9,4,occurred,2026-02-12T09:18:00+09:00.jpg,True,,6,6
